country_code,avg_carbon_intensity,cluster_prediction
DE,275.12418715847036,0
AE,285.6809540072844,0
MX,296.65563524590215,0
AR,302.92154713114644,0
US,329.06212918937683,0
IE,330.2651719034599,0
PL,642.6241177140232,1
ZA,656.7194979508192,1
SE,3.726148679417131,2
NO,8.623935564663025,2
CH,15.01666780510022,2
FR,16.49390710382512,2
MA,479.97237932604736,3
CN,481.76787682149205,3
CA,87.88182490892518,4
ES,88.30478938979935,4
KR,357.03463911657485,5
SG,366.9285234517316,5
SN,375.5291848816047,5
TH,381.2616120218571,5
CZ,436.09923383424405,6
AU,445.63828893442513,6
SI,198.15388319672158,7
IT,207.29918943533622,7
IN,609.3375523679432,8
FI,40.471477686703196,9
BR,58.00800318761388,9
AT,95.66794398907084,10
GB,105.6878164845175,10
BE,106.99655510018233,10
